16/Jan/2016 11:36:49,109- DownloadController: Loading unknown page
16/Jan/2016 11:36:50,812- DownloadController: Loading unknown page
16/Jan/2016 11:36:58,149- DownloadController: Loading unknown page
16/Jan/2016 11:36:58,149- DownloadController: Loading unknown page
16/Jan/2016 11:36:58,546- DownloadController: Loading unknown page
16/Jan/2016 11:36:58,581- DownloadController: Loading login page
16/Jan/2016 11:36:58,582- DownloadController: Loading login page
16/Jan/2016 11:36:59,667- DownloadController: Loading login page
16/Jan/2016 11:37:39,892- DownloadController: Loading unknown page
16/Jan/2016 11:37:39,892- DownloadController: Loading unknown page
16/Jan/2016 11:37:41,203- DownloadController: Signed in and have the .tar.gz link.
16/Jan/2016 11:37:41,206- AbstractController: Moving to controller DOWNLOAD_PROGRESS_CONTROLLER
16/Jan/2016 11:37:41,206- ControllerFactory: Loading controller DOWNLOAD_PROGRESS_CONTROLLER
16/Jan/2016 11:37:41,323- DownloadProgressController: Initial url is https://edelivery.oracle.com/akam/otn/java/ejdk/8u6-b23/ejdk-8u6-fcs-b23-linux-arm-vfp-sflt-12_jun_2014.tar.gz
16/Jan/2016 11:37:41,452- DownloadProgressController: Redirecting to http://download.oracle.com/otn/java/ejdk/8u6-b23/ejdk-8u6-fcs-b23-linux-arm-vfp-sflt-12_jun_2014.tar.gz?AuthParam=1452972481_222ad2b5b854650f1b89eb83a979d75f
16/Jan/2016 11:37:41,676- DownloadProgressController: Final url is http://download.oracle.com/otn/java/ejdk/8u6-b23/ejdk-8u6-fcs-b23-linux-arm-vfp-sflt-12_jun_2014.tar.gz?AuthParam=1452972481_222ad2b5b854650f1b89eb83a979d75f
16/Jan/2016 11:37:41,678- DownloadProgressController: Starting JRE Creator download. File size is 121568917 bytes
16/Jan/2016 11:37:41,681- DownloadController: Loading unknown page
16/Jan/2016 11:38:56,804- DownloadProgressController: Downloaded JRE
16/Jan/2016 11:38:56,815- AbstractController: Moving to controller UNTAR_CONTROLLER
16/Jan/2016 11:38:56,815- ControllerFactory: Loading controller UNTAR_CONTROLLER
16/Jan/2016 11:38:56,920- UntarController: Starting decompress of file C:\Users\robotics\wpilib\tools\.\ejdk-8u6-fcs-b23-linux-arm-vfp-sflt-12_jun_2014.tar.gz to C:\Users\robotics\wpilib\tools\.
16/Jan/2016 11:39:05,139- AbstractController: Moving to controller CREATE_JRE_CONTROLLER
16/Jan/2016 11:39:05,140- ControllerFactory: Loading controller CREATE_JRE_CONTROLLER
16/Jan/2016 11:39:05,156- CreateJreController: Staring JRE Creation
16/Jan/2016 11:39:05,156- CreateJreController: Creator location: C:\Users\robotics\wpilib\tools\.\ejdk1.8.0_06\lib\JRECreate.jar
16/Jan/2016 11:39:05,156- CreateJreController: Command: [java, -jar, C:\Users\robotics\wpilib\tools\.\ejdk1.8.0_06\lib\JRECreate.jar, --dest, JRE, --profile, compact2, --vm, client, --keep-debug-info, --debug]
16/Jan/2016 11:39:05,156- CreateJreController: EJDK_HOME: C:\Users\robotics\wpilib\tools\.\ejdk1.8.0_06
16/Jan/2016 11:39:06,419- CreateJreController: Successfully Created JRE!
16/Jan/2016 11:39:06,424- AbstractController: Moving to controller TAR_JRE_CONTROLLER
16/Jan/2016 11:39:06,424- ControllerFactory: Loading controller TAR_JRE_CONTROLLER
16/Jan/2016 11:39:06,546- TarJREController: Starting zip
16/Jan/2016 11:39:09,130- TarJREController: Finished zip, starting md5 hash
16/Jan/2016 11:39:09,871- TarJREController: Finished md5 hash, hash is 3E7C81BBE0E633A8705D030F2F9FF3C4
16/Jan/2016 11:39:09,872- AbstractController: Moving to controller CONNECT_ROBORIO_CONTROLLER
16/Jan/2016 11:39:09,873- ControllerFactory: Loading controller CONNECT_ROBORIO_CONTROLLER
16/Jan/2016 11:43:31,156- ConnectRoboRioController: Connecting to roborio-2903-frc.local
16/Jan/2016 11:43:31,158- ConnectRoboRioController: Checking for mDNS connection to the roboRio
16/Jan/2016 11:43:36,201- ConnectRoboRioController: roborio-2903-frc.local is reachable
16/Jan/2016 11:43:36,203- ConnectRoboRioController: Found mDNS connection
16/Jan/2016 11:43:36,203- AbstractController: Moving to controller DEPLOY_CONTROLLER
16/Jan/2016 11:43:36,204- ControllerFactory: Loading controller DEPLOY_CONTROLLER
16/Jan/2016 11:43:38,814- DeployController: Size command is C0644 15273744 JRE.tar.gz

16/Jan/2016 11:43:38,928- DeployController: Return code is 0
16/Jan/2016 11:43:43,554- DeployController: Return code is 0
16/Jan/2016 11:43:43,568- DeployController: Attempting to remove old JRE
16/Jan/2016 11:43:43,569- DeployController: Running command rm -r /usr/local/frc/JRE
16/Jan/2016 11:43:43,810- DeployController: Removed old JRE
16/Jan/2016 11:43:43,810- DeployController: Extracting the JRE
16/Jan/2016 11:43:43,811- DeployController: Running command tar -xzf /home/admin/JRE.tar.gz -C /home/admin/
16/Jan/2016 11:43:48,413- DeployController: Extracted the JRE
16/Jan/2016 11:43:48,413- DeployController: Moving the JRE
16/Jan/2016 11:43:48,414- DeployController: Running command mv /home/admin/JRE /usr/local/frc
16/Jan/2016 11:43:48,516- DeployController: Moved the JRE
16/Jan/2016 11:43:48,516- DeployController: Setting permissions
16/Jan/2016 11:43:48,517- DeployController: Running command chmod +x /usr/local/frc/JRE/bin/*
16/Jan/2016 11:43:48,619- DeployController: Set permissions
16/Jan/2016 11:43:48,619- DeployController: Cleaning up
